Name;Players;Only Local;Better together;Platform;Finishi;Launch
Age of Empires II: Definitive Edition;4;FALSE;FALSE;Steam;FALSE;
Age of Empires IV: Anniversary;4;FALSE;FALSE;Steam;FALSE;
Alien Hominid HD;2;TRUE;TRUE;Steam;FALSE;
Alien Hominid Invasion;2;TRUE;TRUE;Steam;FALSE;
BattleBlock Theater;2;FALSE;TRUE;Steam;TRUE;
Battlefield 1;4;FALSE;FALSE;EA;FALSE;
Battlefield 5;4;FALSE;FALSE;Steam;FALSE;
Blood and Bacon;4;FALSE;FALSE;Steam;FALSE;
Bomberman 64;4;TRUE;TRUE;Project 64;FALSE;
Borderlands 2;2;FALSE;FALSE;Steam;FALSE;
Call of Duty;2;FALSE;FALSE;Steam;FALSE;
Castle Crashers;4;FALSE;TRUE;Steam;TRUE;
Chivalry 2 ;4;FALSE;FALSE;Epic;FALSE;
Content Watning;4;FALSE;FALSE;Steam;FALSE;
Counter-Strike 2;4;FALSE;FALSE;Steam;FALSE;
Dead by Daylight;4;FALSE;FALSE;Epic;FALSE;
Don't Starve Together;4;FALSE;FALSE;Steam;FALSE;
DRAGON BALL FighterZ;2;FALSE;TRUE;Steam;FALSE;
Dying Light;4;FALSE;FALSE;Epic;FALSE;
Fall Guys;4;FALSE;FALSE;Steam;FALSE;
Gang Beasts;4;FALSE;TRUE;Steam;FALSE;
Left 4 Dead 2;4;FALSE;FALSE;Steam;FALSE;
Lego The lord of the Rings;2;TRUE;TRUE;Steam;FALSE;
Lethal Company;4;FALSE;FALSE;Steam;FALSE;
Mario kart 64;4;TRUE;TRUE;Project 64;FALSE;